lane,log10_acid_activity,log10_base_activity,auxiliary_0,auxiliary_1,maximum_normalized_violation
175,-2.896179676055908,-2.6961796283721924,1.5842580174104618e-38,-1.3736214183559376e-38,3.161013638317052e-08
176,-2.795767068862915,-2.595767021179199,0.0,-0.0,3.161013638317052e-08
177,-2.7925117015838623,-2.5925114154815674,0.0,-1.7098212261764406e-38,2.0019753042674663e-07
178,-2.8848764896392822,-2.6848762035369873,1.4880066094018438e-38,-0.0,2.0019753042674663e-07
179,-2.7702789306640625,-2.5702788829803467,0.0,-1.8410943057950037e-38,3.161013638317052e-08
180,-2.9340813159942627,-2.7340810298919678,1.3262778490894915e-38,-1.7553897706781264e-38,2.0019753042674663e-07
181,-2.6517889499664307,-2.4517886638641357,0.0,-0.0,2.0019753042674663e-07
182,-2.8192501068115234,-2.6192500591278076,1.4069008555851877e-38,-0.0,3.161013638317052e-08
183,-2.9369587898254395,-2.7369587421417236,0.0,-1.2475617295440485e-38,3.161013638317052e-08
184,-2.9067087173461914,-2.7067084312438965,0.0,-1.3417669615350594e-38,2.0019753042674663e-07
185,-2.862637758255005,-2.662637710571289,1.674570302137732e-38,-1.702294852124552e-38,3.161013638317052e-08
186,-2.813161611557007,-2.613161325454712,0.0,-0.0,2.0019753042674663e-07
187,-2.8331661224365234,-2.6331658363342285,0.0,-1.5683579041253074e-38,2.0019753042674663e-07
188,-2.6429340839385986,-2.442934036254883,0.0,-0.0,3.161013638317052e-08
189,-2.74521541595459,-2.545215368270874,0.0,-0.0,3.161013638317052e-08
190,-2.820071220397949,-2.6200711727142334,1.4448530626735753e-38,-0.0,3.161013638317052e-08
191,-2.6884381771087646,-2.4884378910064697,0.0,-1.638929536866248e-38,2.0019753042674663e-07
192,-2.832683801651001,-2.632683515548706,0.0,-0.0,2.0019753042674663e-07
193,-2.7217109203338623,-2.5217108726501465,0.0,-1.838266765753689e-38,3.161013638317052e-08
194,-2.836479425430298,-2.636479139328003,1.332941023287356e-38,-1.4444909671503938e-38,2.0019753042674663e-07
195,-2.8761343955993652,-2.6761341094970703,0.0,-1.1970650986030251e-38,2.0019753042674663e-07
196,-2.8424623012542725,-2.6424622535705566,0.0,-1.4708659265862226e-38,3.161013638317052e-08
197,-2.7492213249206543,-2.5492212772369385,0.0,-0.0,3.161013638317052e-08
198,-2.8403146266937256,-2.6403143405914307,1.2820196587817958e-38,-1.1824027522514089e-38,2.0019753042674663e-07
199,-2.878844738006592,-2.678844451904297,0.0,-1.4618253094137846e-38,2.0019753042674663e-07
200,-2.8312432765960693,-2.6312429904937744,1.5107023195897414e-38,-1.330114043765427e-38,2.0019753042674663e-07
201,-2.8969852924346924,-2.6969852447509766,1.5411515543105946e-38,-0.0,3.161013638317052e-08
202,-2.8792285919189453,-2.6792285442352295,0.0,-1.3005938699264212e-38,3.161013638317052e-08
203,-2.7989368438720703,-2.5989365577697754,1.6642860325782057e-38,-0.0,2.0019753042674663e-07
204,-2.8873939514160156,-2.6873936653137207,0.0,-1.6279296241809911e-38,2.0019753042674663e-07
205,-2.740875720977783,-2.5408756732940674,1.560453459747744e-38,-0.0,3.161013638317052e-08
206,-2.832524538040161,-2.6325244903564453,0.0,-1.8098405856257816e-38,3.161013638317052e-08
207,-2.6507513523101807,-2.450751304626465,0.0,-0.0,3.161013638317052e-08
208,-2.9329617023468018,-2.732961416244507,1.4136172791246965e-38,-0.0,2.0019753042674663e-07
209,-2.763929605484009,-2.563929319381714,0.0,-1.605027362599452e-38,2.0019753042674663e-07
210,-2.7746317386627197,-2.574631690979004,1.8062168277970376e-38,-0.0,3.161013638317052e-08
211,-2.704897403717041,-2.504897117614746,0.0,-1.1845229168279323e-38,2.0019753042674663e-07
212,-2.7542011737823486,-2.5542008876800537,1.3647188290822356e-38,-1.20865860131777e-38,2.0019753042674663e-07
213,-2.7066571712493896,-2.506657123565674,0.0,-0.0,3.161013638317052e-08
