lane,E,ES,S,P,maximum_packed_normalized_violation,maximum_authored_normalized_violation
72,7.616238594055176,2.3837611079216003,77.88093090057373,19.735311269760132,1.892701673831309e-07,1.892701673831309e-07
73,7.636522054672241,2.3634782433509827,77.77401924133301,19.862494468688965,4.645722290313213e-07,4.645722290313213e-07
74,7.593703269958496,2.406296581029892,77.81693935394287,19.77676272392273,7.742870483855355e-08,7.742870483855355e-08
75,7.567911744117737,2.4320879578590393,77.7548885345459,19.813023805618286,2.1073424255447014e-08,2.1073424255447014e-08
76,7.591314911842346,2.40868479013443,77.8508710861206,19.740452766418457,4.989849867373451e-07,4.989849867373451e-07
77,7.53917932510376,2.4608203768730164,77.79411315917969,19.745060205459595,3.6133395591324993e-07,3.6133395591324993e-07
78,7.619566917419434,2.3804329335689545,78.0184555053711,19.601120948791504,5.420009338698748e-07,5.420009338698748e-07
79,7.5743794441223145,2.4256202578544617,77.8900957107544,19.684290885925293,3.957467136192737e-07,3.957467136192737e-07
80,7.502413392066956,2.4975870549678802,77.63931274414062,19.8630952835083,2.839052510746963e-07,2.839052510746963e-07
81,7.556996941566467,2.443002760410309,77.57980346679688,19.977201223373413,4.301594713252975e-07,4.301594713252975e-07
82,7.470014691352844,2.5299859046936035,77.80210494995117,19.667906761169434,1.376510308240952e-07,1.376510308240952e-07
83,7.690781950950623,2.3092179000377655,77.96439170837402,19.726392030715942,9.463508369156545e-08,9.463508369156545e-08
84,7.542910575866699,2.457089126110077,77.65201568603516,19.890904426574707,5.333977444433689e-07,5.333977444433689e-07
85,7.73628294467926,2.2637172043323517,77.87499904632568,19.861292839050293,5.247945550168629e-07,5.247945550168629e-07
86,7.519482970237732,2.480516731739044,77.75876522064209,19.76071834564209,2.1073424255447014e-08,2.1073424255447014e-08
87,7.52870500087738,2.4712948501110077,77.68675804138184,19.841952323913574,3.0111162992770824e-07,3.0111162992770824e-07
88,7.583933472633362,2.416066527366638,77.79581546783447,19.788124561309814,3.785403347662618e-07,3.785403347662618e-07
89,7.5303566455841064,2.4696430563926697,77.48796463012695,20.04239559173584,1.892701673831309e-07,1.892701673831309e-07
90,7.65623927116394,2.3437611758708954,77.88087368011475,19.77535843849182,3.8714352419276774e-07,3.8714352419276774e-07
91,7.604600787162781,2.3953989148139954,78.01330089569092,19.591307640075684,4.301594713252975e-07,4.301594713252975e-07
92,7.653670310974121,2.346329391002655,77.83280849456787,19.820865392684937,1.892701673831309e-07,1.892701673831309e-07
93,7.627184987068176,2.3728150129318237,77.56657600402832,20.0606107711792,1.032382731180714e-07,1.032382731180714e-07
