lane,v_in,v_A,v_B,v_out,maximum_normalized_violation
219,8.23275625705719,5.227752923965454,3.0050021409988403,8.232754468917847,6.88255154120476e-08
220,8.331205248832703,5.325071811676025,3.0061322450637817,8.33120346069336,6.88255154120476e-08
221,8.376510739326477,5.371989607810974,3.0045199394226074,8.376508951187134,6.88255154120476e-08
222,8.314601182937622,5.308874249458313,3.0057260394096375,8.314599394798279,5.16191365590357e-08
223,8.438971638679504,5.4346877336502075,3.0042827129364014,8.438969850540161,6.88255154120476e-08
224,8.324611186981201,5.319756269454956,3.0048540234565735,8.324609398841858,5.16191365590357e-08
225,8.507686257362366,5.502068400382996,3.0056166648864746,8.507684469223022,6.88255154120476e-08
226,8.445319533348083,5.441204905509949,3.004113733768463,8.44531774520874,5.16191365590357e-08
227,8.347111940383911,5.342823266983032,3.0042877793312073,8.347110152244568,5.16191365590357e-08
228,8.361803889274597,5.357678532600403,3.004124164581299,8.361802101135254,6.88255154120476e-08
229,8.470194935798645,5.466274619102478,3.0039194226264954,8.470193147659302,5.16191365590357e-08
230,8.481125235557556,5.477405786514282,3.0037185549736023,8.481123447418213,5.16191365590357e-08
231,8.363065123558044,5.359375476837158,3.0036887526512146,8.363063335418701,5.16191365590357e-08
232,8.296469449996948,5.2891212701797485,3.007347285747528,8.296467661857605,5.16191365590357e-08
233,8.263486623764038,5.2568405866622925,3.006645143032074,8.263484835624695,5.16191365590357e-08
234,8.354824185371399,5.3510648012161255,3.003758490085602,8.354822397232056,5.16191365590357e-08
235,8.22896957397461,5.224691033363342,3.0042776465415955,8.228967785835266,5.16191365590357e-08
236,8.22780728340149,5.221589803695679,3.006216585636139,8.227805495262146,5.16191365590357e-08
237,8.406243324279785,5.400647521018982,3.0055949091911316,8.406241536140442,5.16191365590357e-08
238,8.31128716468811,5.307532548904419,3.0037537217140198,8.311285376548767,5.16191365590357e-08
239,8.349990248680115,5.343833565711975,3.006155490875244,8.349988460540771,6.88255154120476e-08
240,8.222634196281433,5.218340754508972,3.0042925477027893,8.22263240814209,5.16191365590357e-08
241,8.317069411277771,5.312102437019348,3.0049657821655273,8.317067623138428,6.88255154120476e-08
242,8.53786051273346,5.533189177513123,3.0046701431274414,8.537858724594116,6.88255154120476e-08
243,8.367519974708557,5.363020300865173,3.004498779773712,8.367518186569214,5.16191365590357e-08
244,8.391401171684265,5.384580492973328,3.006819486618042,8.391399383544922,6.88255154120476e-08
245,8.29698383808136,5.2933961153030396,3.0035868287086487,8.296982049942017,5.16191365590357e-08
246,8.428810834884644,5.4229652881622314,3.0058446526527405,8.4288090467453,5.16191365590357e-08
247,8.102205395698547,5.097678899765015,3.004525303840637,8.102203607559204,6.88255154120476e-08
248,8.150314688682556,5.145576596260071,3.00473690032959,8.150312900543213,6.88255154120476e-08
249,8.295931220054626,5.290473103523254,3.0054569244384766,8.295929431915283,6.88255154120476e-08
250,8.387213945388794,5.382524132728577,3.0046889185905457,8.38721215724945,5.16191365590357e-08
251,8.516203761100769,5.510987639427185,3.0052149295806885,8.516201972961426,6.88255154120476e-08
252,8.465399742126465,5.460970401763916,3.004428446292877,8.465397953987122,5.16191365590357e-08
253,8.456875681877136,5.4531508684158325,3.003723621368408,8.456873893737793,6.88255154120476e-08
254,8.296335339546204,5.289875864982605,3.006458282470703,8.29633355140686,6.88255154120476e-08
255,8.435239791870117,5.429092049598694,3.0061468482017517,8.435238003730774,5.16191365590357e-08
256,8.272745013237,5.26711106300354,3.005632758140564,8.272743225097656,6.88255154120476e-08
