lane,E,ES,S,P,maximum_normalized_violation
109,7.55586564540863,2.4441108107566833,78.0165433883667,19.53935980796814,1.6648005161803141e-06
110,7.687403559684753,2.312580645084381,77.6223611831665,20.065066814422607,1.1168914855386918e-06
111,7.426496744155884,2.573533058166504,77.6888370513916,19.737612009048462,2.1073424255447012e-06
112,7.682081460952759,2.3179033398628235,78.00185680389404,19.680250883102417,1.0747446370277978e-06
113,7.546449303627014,2.453513592481613,77.98973083496094,19.5567786693573,2.6236413198031535e-06
114,7.535017728805542,2.464972734451294,77.68227577209473,19.852759838104248,6.743495761743044e-07
115,7.664317488670349,2.3356743156909943,78.2034683227539,19.46086883544922,6.624455858409581e-07
116,7.737531661987305,2.2624720633029938,77.68301486968994,20.0545072555542,3.3552438763373206e-07
117,7.57942795753479,2.420545369386673,77.63288497924805,19.946584701538086,1.8860714708625077e-06
118,7.367698550224304,2.632318139076233,77.68107414245605,19.686598777770996,1.1801117583050329e-06
119,7.61229932308197,2.3876602947711945,77.88296699523926,19.729397296905518,2.8554489866130704e-06
120,7.758383750915527,2.2416000068187714,77.64643669128418,20.11197566986084,1.1485016219218623e-06
121,7.440963983535767,2.559029459953308,77.77905941009521,19.661918878555298,4.6361533361983434e-07
122,7.617949843406677,2.3820778727531433,77.97927379608154,19.638630151748657,1.959828455756572e-06
123,7.654973268508911,2.3450373113155365,77.87076473236084,19.784191846847534,7.48106561068369e-07
124,7.676502466201782,2.323477566242218,77.86294937133789,19.813590049743652,1.41191942511495e-06
125,7.597823143005371,2.402161806821823,77.9761791229248,19.62166666984558,1.0642079249000742e-06
126,7.647577524185181,2.3524269461631775,77.62460231781006,20.022964477539062,3.6133395591324993e-07
127,7.636446952819824,2.3635149002075195,77.74229049682617,19.894219636917114,2.697398304697218e-06
128,7.627723813056946,2.372245043516159,77.76068210601807,19.867095947265625,2.202172834694213e-06
129,7.68480122089386,2.315180152654648,77.69790649414062,19.986926317214966,1.3170890159654383e-06
130,7.748701572418213,2.251252979040146,77.92096614837646,19.827803373336792,3.2136971989556696e-06
131,7.463755011558533,2.536238729953766,77.9334545135498,19.530309438705444,4.425419093643873e-07
132,7.425619959831238,2.5743982195854187,77.74686813354492,19.67872142791748,1.285478879582268e-06
133,7.661926746368408,2.3380567133426666,78.05896282196045,19.602991342544556,1.1695750461773093e-06
134,7.740448713302612,2.259559780359268,77.8697395324707,19.87069845199585,6.005925912802399e-07
135,7.626490592956543,2.3735015094280243,77.75167465209961,19.87482786178589,5.584457427693459e-07
136,7.565920948982239,2.434069514274597,78.05243015289307,19.513505697250366,6.743495761743044e-07
137,7.746060490608215,2.253936380147934,77.92239189147949,19.823676347732544,2.6669887222168447e-07
138,7.739753723144531,2.260235995054245,78.0265474319458,19.713221788406372,7.27033136812922e-07
139,7.615070939064026,2.384902387857437,77.68093585968018,19.934176206588745,1.8860714708625077e-06
140,7.74821937084198,2.2517433762550354,77.92473793029785,19.82354164123535,2.6341780319308767e-06
141,7.489022612571716,2.510979473590851,77.97590732574463,19.513107538223267,3.269211982072261e-07
142,7.577164173126221,2.4228255450725555,77.6908540725708,19.88632321357727,7.27033136812922e-07
143,7.591648101806641,2.4083705246448517,77.8518295288086,19.739785194396973,1.3170890159654383e-06
144,7.623295187950134,2.3767274618148804,77.82102584838867,19.80223774909973,1.601580243413973e-06
145,7.5780099630355835,2.421984225511551,77.59649753570557,19.98152256011963,4.109317729812168e-07
146,7.682777643203735,2.3171982169151306,77.82537460327148,19.85743999481201,1.706947364691208e-06
147,7.6712846755981445,2.328725904226303,77.6460313796997,20.025241374969482,7.48106561068369e-07
148,7.709035277366638,2.290930896997452,77.68764019012451,20.021443367004395,2.391833652993236e-06
149,7.624451518058777,2.3755474388599396,78.13211441040039,19.49234366416931,3.1831800878072015e-07
150,7.500801682472229,2.4991975724697113,77.86329746246338,19.63751196861267,4.0434990304577965e-07
151,7.788885235786438,2.2110773622989655,77.96900749206543,19.81993794441223,2.6447147440586003e-06
152,7.56782591342926,2.4321624636650085,77.4945592880249,20.07328510284424,8.218635459624336e-07
153,7.637063264846802,2.3629195988178253,77.90328979492188,19.733805656433105,1.2117218946882032e-06
154,7.545119524002075,2.4548982083797455,77.71317958831787,19.831913709640503,1.2538687431990974e-06
155,7.63823390007019,2.3617933690547943,77.67491817474365,19.96327042579651,1.928218319373402e-06
156,7.713828682899475,2.2861669957637787,77.8604793548584,19.853358268737793,3.055646517039817e-07
157,7.650447487831116,2.3495523631572723,77.5095796585083,20.14087200164795,2.3228611451566064e-07
158,7.5036704540252686,2.4963298439979553,78.02385807037354,19.47980523109436,3.957467136192737e-07
159,7.548611164093018,2.451382577419281,78.0050802230835,19.543535709381104,4.425419093643873e-07
160,7.550194263458252,2.4497900903224945,78.10788631439209,19.442331790924072,1.1063547734109682e-06
161,7.657181620597839,2.3427987098693848,77.91318893432617,19.74402666091919,1.390846000859503e-06
162,7.657259106636047,2.3427291214466095,77.62320518493652,20.034067630767822,8.324002580901571e-07
163,7.546781897544861,2.453206330537796,77.748122215271,19.798673391342163,8.324002580901571e-07
164,7.525323033332825,2.4747227132320404,77.73963928222656,19.785606861114502,3.234770623211117e-06
165,7.4765753746032715,2.5234541296958923,77.84476280212402,19.631764888763428,2.0862690012892545e-06
166,7.562041282653809,2.437954396009445,78.04937362670898,19.512676000595093,3.055646517039817e-07
167,7.389945983886719,2.6100677251815796,77.7553653717041,19.634557962417603,9.693775157505627e-07
168,7.601318955421448,2.3986996710300446,77.98111915588379,19.620168209075928,1.3170890159654383e-06
169,7.77208685874939,2.2279006242752075,78.07141780853271,19.700690507888794,8.850838187287746e-07
170,7.597474455833435,2.402564436197281,77.82928943634033,19.768121242523193,2.7500818653358353e-06
171,7.560542821884155,2.4394574761390686,77.82849788665771,19.73204493522644,2.1073424255447014e-08
172,7.7882784605026245,2.211688607931137,77.88961887359619,19.8987078666687,2.328613380226895e-06
173,7.678313851356506,2.321670651435852,77.80516624450684,19.87317204475403,1.0958180612832448e-06
174,7.587200403213501,2.4127891659736633,78.079514503479,19.507700204849243,7.375698489406455e-07
175,7.470799684524536,2.529209852218628,77.58538246154785,19.885399341583252,6.743495761743044e-07
176,7.713053226470947,2.28695347905159,77.64707088470459,20.06596803665161,4.741520457475578e-07
177,7.558213472366333,2.4417969584465027,77.75595664978027,19.80224370956421,7.375698489406455e-07
178,7.781627178192139,2.218339741230011,77.91919708251953,19.862481355667114,2.3391500923546186e-06
179,7.492319345474243,2.5076982378959656,77.64533042907715,19.846962690353394,1.2433320310713738e-06
180,7.574739456176758,2.425238937139511,78.11871528625488,19.456055164337158,1.5278232585199085e-06
181,7.468172311782837,2.531859278678894,77.82220363616943,19.64592695236206,2.2337829710773835e-06
182,7.4699413776397705,2.530055046081543,77.93612003326416,19.533826112747192,2.5288109106536417e-07
183,7.606621980667114,2.3933731019496918,77.69151210784912,19.915120601654053,3.4771150021487576e-07
184,7.593281269073486,2.4067258834838867,77.6170015335083,19.97626781463623,5.057621821307283e-07
185,7.503147721290588,2.4968770146369934,77.6476240158081,19.85548496246338,1.7490942132021023e-06
186,7.650046944618225,2.3499637842178345,77.55963802337646,20.090396404266357,7.586432731960926e-07
187,7.662360072135925,2.3376601934432983,77.6617431640625,20.000581741333008,1.432992849370397e-06
188,7.687445878982544,2.312539219856262,77.92273044586182,19.764738082885742,1.0536712127723506e-06
189,7.708672881126404,2.291308641433716,77.69282817840576,20.015873908996582,1.306552303837715e-06
190,7.627830505371094,2.372177392244339,78.06312084197998,19.56470012664795,5.584457427693459e-07
191,7.57296621799469,2.427051216363907,77.74593353271484,19.82699990272522,1.2327953189436504e-06
192,7.644098401069641,2.355891466140747,77.64862060546875,19.995495080947876,7.164964246851985e-07
193,7.6887911558151245,2.311207354068756,77.53570556640625,20.153093338012695,3.6133395591324993e-07
194,7.625255584716797,2.374723255634308,77.90163993835449,19.723644256591797,1.496213122136738e-06
195,7.570902109146118,2.429082542657852,77.62654781341553,19.944381713867188,1.0852813491555212e-06
196,7.642403244972229,2.357596457004547,77.86773681640625,19.774662256240845,2.580956827951785e-07
197,7.709602117538452,2.2903789579868317,77.75487422943115,19.954761266708374,1.3381624402208855e-06
198,7.557779550552368,2.4421900510787964,77.77889251708984,19.778939485549927,2.1494892740555956e-06
199,7.541173696517944,2.4588267505168915,77.6287841796875,19.912381172180176,4.5596903960481533e-07
200,7.616150975227356,2.3838163912296295,77.8450059890747,19.771190881729126,2.3075399559714482e-06
201,7.485390901565552,2.5146105885505676,77.56141662597656,19.92396831512451,2.580956827951785e-07
202,7.530615925788879,2.469386011362076,77.63042449951172,19.90018367767334,3.3552438763373206e-07
203,7.598949670791626,2.4009916186332703,77.77189254760742,19.82715129852295,4.151464578323062e-06
204,7.478414177894592,2.5215962529182434,77.65842914581299,19.819966554641724,7.375698489406455e-07
205,7.68570601940155,2.3142586648464203,77.91403293609619,19.771724939346313,2.4972007742704712e-06
206,7.520204186439514,2.4798068404197693,77.84567832946777,19.674508571624756,7.797166974515395e-07
207,7.490178346633911,2.5098663568496704,77.72427558898926,19.765828847885132,3.161013638317052e-06
208,7.606412768363953,2.393590956926346,78.04224491119385,19.564156532287598,4.387626607518035e-07
209,7.558715343475342,2.4412809312343597,77.93280601501465,19.625917673110962,2.6669887222168447e-07
210,7.5972431898117065,2.402803748846054,77.83860683441162,19.75855588912964,3.3190643202329047e-06
211,7.576351165771484,2.4236416816711426,77.66256332397461,19.913804531097412,5.506041232963808e-07
212,7.639824151992798,2.360149770975113,77.84161567687988,19.798247814178467,1.8439246223516137e-06
213,7.522640228271484,2.4773813784122467,77.7260971069336,19.796515703201294,1.5278232585199085e-06
214,7.559887170791626,2.4401044845581055,77.48452186584473,20.075383186340332,5.900558791525164e-07
215,7.433091998100281,2.5669249892234802,77.7295446395874,19.703519344329834,1.2011851825604799e-06
216,7.6384371519088745,2.361520677804947,77.65541553497314,19.98309016227722,2.9818895321457527e-06
217,7.440957427024841,2.559070885181427,77.70236492156982,19.738551378250122,2.0019753042674666e-06
218,7.573373913764954,2.426629960536957,77.60006904602051,19.97329831123352,2.739545153208112e-07
219,7.500302195549011,2.499697655439377,77.9560136795044,19.544285535812378,1.8066697795662496e-07
220,7.5413113832473755,2.458724230527878,77.83054828643799,19.710705280303955,2.5182741985259184e-06
221,7.581380605697632,2.418608218431473,77.76025772094727,19.8211407661438,7.90253409579263e-07
222,7.753608822822571,2.246362864971161,78.06003093719482,19.693626165390015,2.0019753042674666e-06
223,7.568439245223999,2.4315574765205383,77.59501457214355,19.973433017730713,2.925084405012023e-07
224,7.508471608161926,2.4915483593940735,77.69201278686523,19.81642246246338,1.41191942511495e-06
225,7.794977426528931,2.2049880027770996,77.9241418838501,19.870892763137817,2.4445172136318537e-06
226,7.701975703239441,2.297971099615097,77.85029411315918,19.851762056350708,3.7616062295972922e-06
