lane,E,ES,S,P,maximum_normalized_violation
179,7.4923282861709595,2.5077015161514282,77.64532566070557,19.84695315361023,2.1073424255447012e-06
180,7.574729919433594,2.4252329766750336,78.11872959136963,19.456056356430054,2.6236413198031535e-06
181,7.4681878089904785,2.531861662864685,77.82218933105469,19.645915031433105,3.4981884264042045e-06
182,7.469942569732666,2.530050277709961,77.9361343383789,19.5338237285614,5.057621821307283e-07
183,7.60661780834198,2.3933736979961395,77.69150257110596,19.915125370025635,6.005925912802399e-07
184,7.593284249305725,2.4067284166812897,77.61699676513672,19.976269006729126,8.956205308564981e-07
185,7.5031620264053345,2.4968788027763367,77.6476240158081,19.85547184944153,2.8870591229962408e-06
186,7.65005350112915,2.3499642312526703,77.55963802337646,20.090389251708984,1.2538687431990974e-06
187,7.66237199306488,2.337663769721985,77.6617431640625,20.000569820404053,2.5288109106536416e-06
188,7.687439918518066,2.3125357925891876,77.9227352142334,19.76474165916443,1.7174840768189317e-06
