lane,state_pool,operator_pool,scratch_pool,staging_pool,maximum_normalized_violation
139,3.9403584003448486,3.090155839920044,1.9214340448379517,1.0480518341064453,5.960464477539063e-08
140,3.9968016147613525,2.9453506469726562,2.0542242527008057,1.0036237239837646,1.1920928955078125e-07
141,3.9058687686920166,3.0874128341674805,2.006718873977661,1.0,2.384185791015625e-07
142,3.943694829940796,2.9807040691375732,1.98893141746521,1.086670160293579,2.384185791015625e-07
143,4.100393772125244,2.957906723022461,1.9416996240615845,1.0,5.960464477539063e-08
144,4.143730163574219,2.918757915496826,1.9375123977661133,1.0,2.384185791015625e-07
145,3.9787795543670654,3.018979549407959,1.904865026473999,1.0973761081695557,1.1920928955078125e-07
146,3.988114595413208,2.9597272872924805,2.0180611610412598,1.0340968370437622,0.0
147,4.126826763153076,2.8618526458740234,1.910857081413269,1.100463628768921,5.960464477539063e-08
148,3.9477999210357666,2.882554292678833,2.0013725757598877,1.1682733297348022,5.960464477539063e-08
149,3.999584197998047,2.9345388412475586,2.0658769607543945,1.0,0.0
150,3.9018192291259766,3.0481667518615723,2.0500144958496094,1.0,2.384185791015625e-07
151,4.004605770111084,2.835886001586914,2.1170222759246826,1.042486548423767,2.980232238769531e-07
152,3.9148826599121094,2.98796010017395,1.9038963317871094,1.193260908126831,0.0
153,3.9742352962493896,2.9813292026519775,2.044435739517212,1.0,1.1920928955078125e-07
154,4.068735122680664,3.0250258445739746,1.90623939037323,1.0,1.7881393432617188e-07
155,4.183760166168213,2.8834476470947266,1.894308090209961,1.0384843349456787,1.1920928955078125e-07
156,4.1028733253479,2.8769590854644775,2.01186203956604,1.0083051919937134,0.0
157,4.055038928985596,2.9078500270843506,1.8607321977615356,1.176378846168518,0.0
158,3.883223056793213,3.0029075145721436,2.1138696670532227,1.0,1.1920928955078125e-07
159,3.9175631999969482,2.997180223464966,2.085256814956665,1.0,1.1920928955078125e-07
160,3.8543078899383545,2.9769251346588135,2.168767213821411,1.0,1.1920928955078125e-07
161,3.9496827125549316,2.9027810096740723,2.116058349609375,1.0314781665802002,1.1920928955078125e-07
162,4.032389163970947,2.956942081451416,1.9026196002960205,1.1080487966537476,0.0
163,3.9122941493988037,3.038905143737793,2.01176118850708,1.0370392799377441,0.0
164,4.151957988739014,2.980076313018799,1.8679660558700562,1.0,1.7881393432617188e-07
165,4.026443958282471,3.053776741027832,1.9197797775268555,1.0,2.384185791015625e-07
166,3.939387083053589,3.054842233657837,2.0057709217071533,1.0,1.1920928955078125e-07
167,3.8891396522521973,3.1706695556640625,1.9401910305023193,1.0,1.1920928955078125e-07
168,4.090806007385254,2.9495439529418945,1.9596501588821411,1.0,5.960464477539063e-08
169,4.1152191162109375,2.812199831008911,2.0725815296173096,1.0,2.384185791015625e-07
170,4.187051773071289,2.919109582901001,1.8938391208648682,1.0,2.384185791015625e-07
171,3.998903512954712,3.0602457523345947,1.940850853919983,1.0,5.960464477539063e-08
172,4.028367042541504,2.8207767009735107,2.073154926300049,1.0777020454406738,3.5762786865234375e-07
173,4.01584529876709,2.907820224761963,2.0211663246154785,1.0551683902740479,1.1920928955078125e-07
174,3.9348392486572266,2.996119737625122,2.0690407752990723,1.0,0.0
175,3.9435877799987793,3.0623559951782227,1.922025203704834,1.0720312595367432,1.1920928955078125e-07
176,4.170632839202881,2.8517377376556396,1.8840917348861694,1.0935381650924683,2.384185791015625e-07
177,4.03348970413208,3.018906593322754,1.9476038217544556,1.0,5.960464477539063e-08
178,4.00514554977417,2.790325880050659,2.1164424419403076,1.0880857706069946,0.0
179,4.024731636047363,3.0950074195861816,1.880260944366455,1.0,0.0
180,3.8382086753845215,2.9468002319335938,2.214991569519043,1.0,2.384185791015625e-07
181,4.041851043701172,3.1135523319244385,1.8445968627929688,1.0,1.1920928955078125e-07
182,3.8538546562194824,3.0944430828094482,2.0517020225524902,1.0,0.0
183,3.9784481525421143,2.910358428955078,1.9996918439865112,1.1115018129348755,1.1920928955078125e-07
184,4.0315752029418945,2.923938751220703,1.9324259757995605,1.112060546875,2.384185791015625e-07
185,4.044536590576172,3.024120807647705,1.9137074947357178,1.0176355838775635,2.384185791015625e-07
186,4.120884895324707,2.909229278564453,1.8522542715072632,1.1176315546035767,0.0
187,4.176051616668701,2.867250919342041,1.8936408758163452,1.0630574226379395,4.172325134277344e-07
188,4.050472259521484,2.9788858890533447,1.970642328262329,1.0,2.384185791015625e-07
189,4.047142505645752,2.930237293243408,1.930549144744873,1.092071771621704,3.5762786865234375e-07
190,4.035482883453369,2.892528533935547,2.071988582611084,1.0,0.0
191,4.1031975746154785,3.031222105026245,1.8655807971954346,1.0,2.384185791015625e-07
192,4.008464336395264,2.938633680343628,1.9397345781326294,1.1131678819656372,2.384185791015625e-07
193,4.116367340087891,2.9394094944000244,1.8177623748779297,1.1264610290527344,1.1920928955078125e-07
194,3.944716215133667,2.971357822418213,2.083926200866699,1.0,1.1920928955078125e-07
195,3.9041666984558105,3.005427837371826,1.9657434225082397,1.124662160873413,5.960464477539063e-08
196,4.053465843200684,2.9138989448547363,2.0326356887817383,1.0,2.384185791015625e-07
197,4.045881271362305,2.927212953567505,1.9634814262390137,1.0634255409240723,5.960464477539062e-07
198,3.827385187149048,3.065826177597046,2.0533816814422607,1.053407073020935,5.960464477539063e-08
199,3.9640703201293945,3.0084352493286133,1.9428493976593018,1.0846449136734009,0.0
200,3.8827030658721924,3.004793167114258,2.074704885482788,1.0377987623214722,0.0
